"PEAT"|No |No |"Peat"|"41090655"|"81281022"
"C"|No |Yes|"Clay"|"41090656"|"81281023"
"SR- SIC C"|Yes|Yes|"Stratified silty clay to clay"|"41090657"|"81281024"
"CEM"|No |Yes|"Cemented"|"41090658"|"81281025"
"S"|No |Yes|"Sand"|"41090659"|"81281026"
"SIC"|No |Yes|"Silty clay"|"41090660"|"81281027"
"SICL"|No |Yes|"Silty clay loam"|"41090661"|"81281028"
"SR- CL SIC"|Yes|Yes|"Stratified clay loam to silty clay"|"41090662"|"81281029"
"C"|No |Yes|"Clay"|"41090663"|"81281030"
"SR- SIC C"|Yes|Yes|"Stratified silty clay to clay"|"41090664"|"81281031"
"CEM"|No |Yes|"Cemented"|"41090665"|"81281032"
"S"|No |Yes|"Sand"|"41090666"|"81281033"
"SICL"|No |Yes|"Silty clay loam"|"41090667"|"81281034"
"SICL"|No |No |"Silty clay loam"|"41090668"|"81281035"
"SIL"|No |No |"Silt loam"|"41090668"|"81281036"
"UWB"|No |Yes|"Unweathered bedrock"|"41090669"|"81281037"
"UWB"|No |Yes|"Unweathered bedrock"|"41090670"|"81281038"
"VAR"|No |Yes|"Variable"|"41090671"|"81281039"
"SR- GR-S SIC"|Yes|Yes|"Stratified gravelly sand to silty clay"|"41090672"|"81281040"
"UWB"|No |Yes|"Unweathered bedrock"|"41090673"|"81281041"
"COS"|No |No |"Coarse sand"|"41090674"|"81281042"
"S"|No |No |"Sand"|"41090674"|"81281043"
"FS"|No |No |"Fine sand"|"41090674"|"81281044"
"S"|No |Yes|"Sand"|"41090675"|"81281045"
"S"|No |Yes|"Sand"|"41090676"|"81281046"
"S"|No |Yes|"Sand"|"41090677"|"81281047"
"SIC"|No |Yes|"Silty clay"|"41090678"|"81281048"
"SICL"|No |Yes|"Silty clay loam"|"41090679"|"81281049"
"SIC"|No |Yes|"Silty clay"|"41090680"|"81281050"
"SIC"|No |No |"Silty clay"|"41090681"|"81281051"
"C"|No |No |"Clay"|"41090681"|"81281052"
"SICL"|No |Yes|"Silty clay loam"|"41090682"|"81281053"
"ST-SICL"|No |Yes|"Stony silty clay loam"|"41090683"|"81281054"
"UWB"|No |Yes|"Unweathered bedrock"|"41090684"|"81281055"
"SICL"|No |Yes|"Silty clay loam"|"41090685"|"81281056"
"SICL"|No |Yes|"Silty clay loam"|"41090686"|"81281057"
"UWB"|No |Yes|"Unweathered bedrock"|"41090687"|"81281058"
"SICL"|No |Yes|"Silty clay loam"|"41090688"|"81281059"
"SICL"|No |No |"Silty clay loam"|"41090689"|"81281060"
"CL"|No |No |"Clay loam"|"41090689"|"81281061"
"SIC"|No |Yes|"Silty clay"|"41090690"|"81281062"
"SIC"|No |Yes|"Silty clay"|"41090691"|"81281063"
"CL"|No |Yes|"Clay loam"|"41090692"|"81281064"
"SL"|No |Yes|"Sandy loam"|"41090693"|"81281065"
"SR- S SI"|Yes|Yes|"Stratified sand to silt"|"41090694"|"81281066"
"SIC"|No |Yes|"Silty clay"|"41090695"|"81281067"
"SIC"|No |Yes|"Silty clay"|"41090696"|"81281068"
"SICL"|No |No |"Silty clay loam"|"41090697"|"81281069"
"SIC"|No |No |"Silty clay"|"41090697"|"81281070"
"SIC"|No |Yes|"Silty clay"|"41090698"|"81281071"
"SIC"|No |No |"Silty clay"|"41090699"|"81281072"
"C"|No |No |"Clay"|"41090699"|"81281073"
"SIC"|No |Yes|"Silty clay"|"41090700"|"81281074"
"SIC"|No |Yes|"Silty clay"|"41090701"|"81281075"
"SICL"|No |No |"Silty clay loam"|"41090702"|"81281076"
"SIC"|No |No |"Silty clay"|"41090702"|"81281077"
"SIC"|No |Yes|"Silty clay"|"41090703"|"81281078"
"SIC"|No |No |"Silty clay"|"41090704"|"81281079"
"C"|No |No |"Clay"|"41090704"|"81281080"
"SIC"|No |Yes|"Silty clay"|"41090705"|"81281081"
"SIC"|No |Yes|"Silty clay"|"41090706"|"81281082"
"SIC"|No |Yes|"Silty clay"|"41090707"|"81281083"
"SICL"|No |Yes|"Silty clay loam"|"41090708"|"81281084"
"SIC"|No |Yes|"Silty clay"|"41090709"|"81281085"
"SIC"|No |Yes|"Silty clay"|"41090710"|"81281086"
"SIC"|No |No |"Silty clay"|"41090711"|"81281087"
"SICL"|No |No |"Silty clay loam"|"41090711"|"81281088"
"UWB"|No |Yes|"Unweathered bedrock"|"41090712"|"81281089"
"SICL"|No |Yes|"Silty clay loam"|"41090713"|"81281090"
"SICL"|No |No |"Silty clay loam"|"41090714"|"81281091"
"SIC"|No |No |"Silty clay"|"41090714"|"81281092"
"SICL"|No |Yes|"Silty clay loam"|"41090715"|"81281093"
"CL"|No |Yes|"Clay loam"|"41090716"|"81281094"
"SL"|No |Yes|"Sandy loam"|"41090717"|"81281095"
"SR- S SI"|Yes|Yes|"Stratified sand to silt"|"41090718"|"81281096"
"SICL"|No |Yes|"Silty clay loam"|"41090719"|"81281097"
"SIC"|No |Yes|"Silty clay"|"41090720"|"81281098"
"SIC"|No |Yes|"Silty clay"|"41090721"|"81281099"
"GR-SIC"|No |No |"Gravelly silty clay"|"41090722"|"81281100"
"SIC"|No |No |"Silty clay"|"41090722"|"81281101"
"SIC"|No |Yes|"Silty clay"|"41090723"|"81281102"
"SICL"|No |Yes|"Silty clay loam"|"41090724"|"81281103"
"SICL"|No |Yes|"Silty clay loam"|"41090725"|"81281104"
"SIC"|No |Yes|"Silty clay"|"41090726"|"81281105"
"SIC"|No |Yes|"Silty clay"|"41090727"|"81281106"
"SIC"|No |Yes|"Silty clay"|"41090728"|"81281107"
"SIC"|No |No |"Silty clay"|"41090729"|"81281108"
"C"|No |No |"Clay"|"41090729"|"81281109"
"SIC"|No |Yes|"Silty clay"|"41090730"|"81281110"
"L"|No |No |"Loam"|"41090731"|"81281111"
"SIC"|No |No |"Silty clay"|"41090731"|"81281112"
"SIC"|No |Yes|"Silty clay"|"41090732"|"81281113"
"SICL"|No |Yes|"Silty clay loam"|"41090733"|"81281114"
"SIC"|No |Yes|"Silty clay"|"41090734"|"81281115"
"C"|No |Yes|"Clay"|"41090735"|"81281116"
"SIC"|No |No |"Silty clay"|"41090736"|"81281117"
"C"|No |No |"Clay"|"41090736"|"81281118"
"SIC"|No |Yes|"Silty clay"|"41090737"|"81281119"
"SIC"|No |Yes|"Silty clay"|"41090738"|"81281120"
"SIC"|No |Yes|"Silty clay"|"41090739"|"81281121"
"SIC"|No |Yes|"Silty clay"|"41090740"|"81281122"
"SIC"|No |Yes|"Silty clay"|"41090741"|"81281123"
"SIC"|No |Yes|"Silty clay"|"41090742"|"81281124"
"SIC"|No |Yes|"Silty clay"|"41090743"|"81281125"
"SIC"|No |Yes|"Silty clay"|"41090744"|"81281126"
"SIC"|No |Yes|"Silty clay"|"41090745"|"81281127"
"SIC"|No |No |"Silty clay"|"41090746"|"81281128"
"C"|No |No |"Clay"|"41090746"|"81281129"
"SIC"|No |Yes|"Silty clay"|"41090747"|"81281130"
"SIC"|No |Yes|"Silty clay"|"41090748"|"81281131"
"SIC"|No |Yes|"Silty clay"|"41090749"|"81281132"
"SIC"|No |Yes|"Silty clay"|"41090750"|"81281133"
"L"|No |No |"Loam"|"41090751"|"81281134"
"SIC"|No |No |"Silty clay"|"41090751"|"81281135"
"SIC"|No |Yes|"Silty clay"|"41090752"|"81281136"
"SIC"|No |Yes|"Silty clay"|"41090753"|"81281137"
"GR-SIC"|No |No |"Gravelly silty clay"|"41090754"|"81281138"
"SIC"|No |No |"Silty clay"|"41090754"|"81281139"
"SIC"|No |Yes|"Silty clay"|"41090755"|"81281140"
"SIC"|No |No |"Silty clay"|"41090756"|"81281141"
