"Silt loam"||"81281382"|"82715779"
"Silt loam"||"81281383"|"82715780"
"Silty clay loam"||"81281397"|"82715794"
|"Weathered bedrock"|"81281398"|"82715795"
"Silt loam"||"81281399"|"82715796"
"Silt loam"||"81281400"|"82715797"
|"Cinders"|"81281413"|"82715810"
"Loam"||"81281414"|"82715811"
"Loam"||"81281415"|"82715812"
"Silt loam"||"81281416"|"82715813"
"Loam"||"81281430"|"82715827"
"Silt loam"||"81281431"|"82715828"
"Silty clay loam"||"81281432"|"82715829"
"Fine sand"||"81281433"|"82715830"
"Loamy sand"||"81280774"|"82715144"
"Loamy fine sand"||"81280776"|"82715146"
"Sand"||"81280783"|"82715153"
"Fine sand"||"81280785"|"82715155"
"Clay loam"||"81280792"|"82715163"
"Silty clay loam"||"81280794"|"82715165"
"Silty clay loam"||"81280799"|"82715171"
"Silty clay"||"81280801"|"82715173"
"Clay loam"||"81280801"|"82715174"
"Silty clay"||"81280808"|"82715181"
"Silt loam"||"81280810"|"82715183"
"Silty clay"||"81280817"|"82715190"
"Clay"||"81280819"|"82715192"
"Clay"||"81280824"|"82715197"
"Clay"||"81280826"|"82715199"
"Clay"||"81280833"|"82715207"
"Clay"||"81280835"|"82715209"
"Silty clay"||"81280842"|"82715216"
"Silty clay loam"||"81280844"|"82715218"
"Silty clay"||"81280849"|"82715223"
"Clay loam"||"81280851"|"82715225"
"Clay loam"||"81280858"|"82715232"
"Silty clay"||"81280860"|"82715234"
"Silty clay"||"81280867"|"82715241"
"Silty clay"||"81280869"|"82715243"
"Silty clay"||"81280874"|"82715248"
"Silty clay"||"81280876"|"82715250"
"Silty clay loam"||"81280878"|"82715252"
"Silty clay loam"||"81280883"|"82715257"
"Silty clay"||"81280885"|"82715259"
"Silt loam"||"81280892"|"82715266"
"Silty clay"||"81280894"|"82715268"
"Silty clay"||"81280899"|"82715273"
"Silty clay"||"81280901"|"82715275"
"Silty clay loam"||"81280903"|"82715277"
"Silt loam"||"81280908"|"82715282"
"Silty clay loam"||"81280910"|"82715284"
"Silty clay"||"81280917"|"82715291"
"Silt loam"||"81280919"|"82715293"
"Silty clay loam"||"81280924"|"82715298"
"Loam"||"81280926"|"82715300"
"Silty clay"||"81280928"|"82715302"
|"Weathered bedrock"|"81280933"|"82715307"
"Silt loam"||"81280935"|"82715309"
"Silty clay"||"81280942"|"82715316"
"Clay loam"||"81280944"|"82715318"
|"Cemented"|"81280951"|"82715325"
|"Unweathered bedrock"|"81280953"|"82715327"
"Silty clay loam"||"81280958"|"82715332"
|"Weathered bedrock"|"81280960"|"82715334"
"Silty clay"||"81280967"|"82715341"
|"Fragmental material"|"81280969"|"82715343"
|"Unweathered bedrock"|"81280976"|"82715350"
"Silty clay loam"||"81280978"|"82715352"
"Clay"||"81280983"|"82715357"
"Clay"||"81280985"|"82715359"
"Clay"||"81280992"|"82715366"
"Clay"||"81280994"|"82715368"
"Clay"||"81281001"|"82715375"
